"id" "income" "expenditure" "house.ten" "sex.hh" "lab.force" "hh.size" "hh.adults"
"1" 1676 708.651977539063 758.516906738281 1 1 4 5 2
"2" 9729 888.470764160156 541.501586914063 3 1 1 5 2
"3" 10716 253.662002563477 158.185668945313 1 2 2 1 1
"4" 566 1133.18005371094 935.548522949219 3 1 1 4 2
"5" 3555 700.77001953125 575.89794921875 3 1 1 4 2
"6" 8841 499.130004882813 348.890563964844 2 1 1 2 2
"7" 6804 617.090026855469 452.878021240234 2 2 1 3 2
"8" 2740 612.219970703125 329.604187011719 3 2 1 1 1
"9" 11793 165.13200378418 100.099998474121 3 1 4 1 1
"10" 6146 619.841491699219 232.484939575195 3 1 4 2 2
"11" 3435 973.700012207031 425.931121826172 2 1 1 5 2
"12" 5158 1123.94995117188 915.264770507813 3 1 1 2 2
"13" 3048 41.5519981384277 981.989807128906 3 1 4 2 2
"14" 12696 138.604995727539 90.9716644287109 3 2 2 1 1
"15" 7656 634.369995117188 539.744140625 3 1 1 2 2
"16" 3808 819.52001953125 381.086059570313 2 1 1 3 3
"17" 10168 393.209991455078 362.990905761719 3 2 1 1 1
"18" 9828 1117.32495117188 599.293640136719 3 1 1 3 2
"19" 11685 932.179992675781 364.071228027344 3 1 1 4 3
"20" 1811 692.099975585938 308.665802001953 2 1 1 2 2
"21" 13801 235.389999389648 211.850006103516 3 1 4 1 1
"22" 2662 914.179992675781 566.403015136719 2 1 1 2 2
"23" 5772 573.572509765625 589.078430175781 3 1 2 2 2
"24" 2447 791.97998046875 648.798156738281 1 1 1 5 2
"25" 548 676.940002441406 481.456390380859 2 1 1 3 2
"26" 8493 563.02001953125 516.696228027344 2 1 1 2 2
"27" 2134 316.5 255.218475341797 1 2 2 2 1
"28" 3714 191.020004272461 169.240005493164 1 2 4 1 1
"29" 11474 184.469497680664 260.143157958984 3 2 4 1 1
"30" 6275 223.352005004883 113.229103088379 3 2 4 1 1
"31" 13237 883.510009765625 711.407165527344 3 1 1 3 2
"32" 14521 379.174011230469 291.744934082031 3 1 4 2 2
"33" 6059 536.75 848.245971679688 3 2 3 4 2
"34" 6524 990.532470703125 485.678253173828 3 2 1 2 2
"35" 9671 602.969970703125 260.854339599609 1 1 1 5 2
"36" 11893 1070.61999511719 870.89501953125 2 2 1 2 2
"37" 4494 203.850006103516 65.7662887573242 1 1 4 1 1
"38" 1615 634.443969726563 363.108581542969 3 1 4 2 2
"39" 5274 830.132019042969 628.065673828125 1 1 1 1 1
"40" 3358 304.670013427734 455.867034912109 3 2 4 1 1
"41" 2625 60 61.7249984741211 1 1 3 1 1
"42" 3162 922.390014648438 528.01953125 3 2 1 2 2
"43" 9886 304.657501220703 111.781814575195 1 1 4 2 2
"44" 10517 150.770004272461 333.514343261719 1 2 4 1 1
"45" 2487 1032.43005371094 720.931274414063 3 1 1 4 2
"46" 8911 1103.06701660156 553.901672363281 3 1 1 2 2
"47" 9243 461.463989257813 421.819030761719 3 1 4 2 2
"48" 9588 157.766998291016 118.374687194824 3 2 4 1 1
"49" 14335 830.434997558594 623.085144042969 2 1 1 2 2
"50" 10913 868.529052734375 545.567565917969 3 1 1 3 2
"51" 1921 749.794006347656 790.1220703125 3 1 4 2 2
"52" 12066 914.130004882813 558.492248535156 2 2 1 3 3
"53" 3608 838.830017089844 645.445068359375 2 1 1 3 2
"54" 7557 213.986999511719 229.904434204102 3 2 4 1 1
"55" 2195 699.184020996094 190.460006713867 3 2 4 2 2
"56" 4203 559.590026855469 462.710845947266 1 1 1 3 2
"57" 12508 761.650024414063 449.725006103516 3 1 1 3 3
"58" 6609 286 332.636749267578 2 1 1 1 1
"59" 7719 547.510009765625 541.225036621094 1 1 1 3 2
"60" 11811 908.502502441406 534.006713867188 3 1 1 3 2
"61" 4154 424.420013427734 362.220184326172 1 1 2 4 4
"62" 14007 107.169998168945 92.7628707885742 1 2 4 1 1
"63" 3358 353.100006103516 307.424438476563 2 2 1 1 1
"64" 8140 472.641998291016 327.883880615234 3 2 4 1 1
"65" 107 361.609497070313 89.7395782470703 3 1 4 1 1
"66" 408 533.797485351563 192.244735717773 3 1 4 1 1
"67" 1821 345.489990234375 705.845825195313 2 1 1 3 2
"68" 9692 207.779998779297 191.323608398438 1 2 4 2 1
"69" 959 485.783996582031 575.477783203125 3 1 4 2 2
"70" 4099 234.811996459961 166.855880737305 3 1 4 1 1
"71" 10464 641.609985351563 649.869018554688 3 1 1 4 2
"72" 7720 321.779998779297 360.867919921875 3 1 4 2 2
"73" 2548 216.570007324219 207.504959106445 1 2 3 3 1
"74" 3499 330.350006103516 238.904998779297 1 1 4 2 2
"75" 2382 603.111999511719 431.260009765625 3 1 4 1 1
"76" 5837 643.14501953125 367.307250976563 3 1 4 2 2
"77" 5490 1130.55004882813 559.506103515625 2 1 1 5 2
"78" 7599 609.739013671875 181.029342651367 3 1 4 2 2
"79" 7917 603.840026855469 344.084533691406 2 1 1 2 2
"80" 5792 877.570007324219 773.882019042969 3 1 1 3 2
"81" 6848 1163.23498535156 964.185302734375 3 2 1 2 2
"82" 11978 987.025024414063 765.710510253906 3 1 1 2 2
"83" 12358 248.520004272461 199.871658325195 2 1 4 1 1
"84" 12982 437.970001220703 221.25520324707 1 2 4 4 1
"85" 7485 1178.77502441406 829.511840820313 2 2 1 2 2
"86" 8808 397.397430419922 471.525817871094 3 2 1 2 2
"87" 11172 316.544006347656 245.240005493164 1 1 4 2 2
"88" 13646 574.492004394531 556.743835449219 2 1 1 4 2
"89" 8033 501.350006103516 377.119995117188 1 1 1 3 2
"90" 10071 746.684509277344 596.694519042969 3 1 4 3 3
"91" 8141 437.5 306.031951904297 1 2 4 2 2
"92" 4562 62.2299995422363 161.55534362793 1 2 4 1 1
"93" 5524 596.909973144531 253.690292358398 3 1 2 1 1
"94" 5480 59.5299987792969 131.643264770508 2 2 2 1 1
"95" 12520 257.824005126953 171.249755859375 3 1 4 2 2
"96" 8686 270.761993408203 287.835021972656 1 1 4 1 1
"97" 7139 266.232513427734 390.049987792969 3 1 1 2 2
"98" 6806 489.991546630859 285.221618652344 3 1 1 3 2
"99" 11844 576.717529296875 753.229370117188 3 1 1 4 2
"100" 2247 805.582336425781 811.600891113281 3 1 1 4 2
"101" 3476 749.630004882813 1027.08166503906 3 1 1 4 2
"102" 10871 258.839996337891 71.3850021362305 1 1 4 2 2
"103" 616 471.260009765625 264.9169921875 3 2 1 2 2
"104" 4320 552.549987792969 440.294616699219 1 1 1 5 3
"105" 12544 299.283996582031 170.478225708008 3 2 4 2 2
"106" 6924 228.554992675781 150.100357055664 3 2 4 1 1
"107" 8601 348.279998779297 382.089904785156 3 1 1 1 1
"108" 6311 369.493988037109 217.26985168457 3 1 4 2 2
"109" 1763 634.484497070313 562.232666015625 3 1 4 2 2
"110" 2704 706.799987792969 326.107971191406 1 1 1 4 2
"111" 11642 1138.47497558594 682.449951171875 3 1 1 4 2
"112" 14338 604.400024414063 362.404907226563 3 1 2 2 2
"113" 7194 316.599487304688 250.84391784668 1 2 4 1 1
"114" 13955 211.580001831055 385.463073730469 3 2 4 1 1
"115" 156 898.150024414063 285.174957275391 3 1 1 2 2
"116" 4426 740.919982910156 427.635009765625 1 2 4 5 2
"117" 5334 550.400024414063 748.3408203125 3 1 1 4 2
"118" 4339 275 214.832809448242 3 1 1 1 1
"119" 4776 700.190002441406 396.081176757813 3 1 1 3 2
"120" 6048 259.880004882813 182.579193115234 3 2 1 1 1
"121" 12840 54.5 98.8019790649414 1 2 3 1 1
"122" 4241 543.573852539063 478.528656005859 3 2 1 2 2
"123" 9076 339.329986572266 135.570007324219 2 1 1 1 1
"124" 2304 1051.0400390625 752.082763671875 3 1 1 2 2
"125" 2456 1065.45251464844 554.699584960938 3 1 1 2 2
"126" 2347 737.315002441406 569.849731445313 2 1 1 1 1
"127" 722 953.559997558594 434.9462890625 3 2 1 1 1
"128" 695 462.432006835938 106.794662475586 3 1 4 1 1
"129" 13879 658.823974609375 374.955047607422 3 1 4 2 2
"130" 10481 301.809997558594 257.902526855469 2 1 4 1 1
"131" 8411 222.479507446289 113.314033508301 3 2 4 1 1
"132" 5118 985.77001953125 754.323486328125 3 1 1 4 2
"133" 4717 830.184020996094 471.254669189453 3 1 4 2 2
"134" 8074 826.469970703125 427.220794677734 1 1 1 3 2
"135" 11788 347.217437744141 474.709991455078 3 2 2 1 1
"136" 113 269.239990234375 247.290618896484 3 2 2 2 2
"137" 8864 1119.69750976563 415.383880615234 3 1 1 2 2
"138" 12038 767.059997558594 613.7685546875 3 1 1 4 2
"139" 12810 1003.19488525391 680.603759765625 3 1 1 2 2
"140" 13297 613.52001953125 459.028167724609 3 1 1 4 2
"141" 2309 861.991516113281 478.29638671875 3 1 4 2 2
"142" 612 509.119995117188 565.46044921875 3 2 1 1 1
"143" 5433 835.260009765625 229.535202026367 3 1 1 1 1
"144" 10927 336.521514892578 216.057464599609 3 1 4 2 2
"145" 10028 751.419982910156 498.336547851563 3 2 4 2 2
"146" 5269 1084.38195800781 1023.87017822266 3 1 1 4 4
"147" 11701 1117.18994140625 541.285400390625 3 2 1 4 2
"148" 9632 346.420013427734 510.903137207031 2 1 1 1 1
"149" 1113 800.530029296875 900.490539550781 3 2 2 1 1
"150" 13369 802.75 435.892608642578 2 1 1 2 2
"151" 6533 589.343994140625 489.467895507813 3 1 4 2 2
"152" 10444 947.022521972656 886.980102539063 3 2 2 2 2
"153" 13650 310.411987304688 484.167816162109 3 2 4 1 1
"154" 5816 392.890014648438 459.186981201172 3 2 1 2 2
"155" 674 704.5 373.385009765625 3 1 4 3 3
"156" 7357 87.6999969482422 56.154972076416 1 1 3 1 1
"157" 6587 845.700012207031 541.777954101563 2 2 1 1 1
"158" 11399 260.772003173828 88.7217559814453 3 2 4 1 1
"159" 11984 153.997177124023 285.80615234375 2 2 2 2 2
"160" 12342 1161.2099609375 1029.57067871094 3 2 1 4 2
"161" 6107 305.279998779297 417.25146484375 3 2 2 2 2
"162" 10075 348.079986572266 185.827438354492 1 1 2 1 1
"163" 10886 619.909973144531 437.895385742188 2 1 1 1 1
"164" 10835 225.272003173828 149.285003662109 1 2 4 1 1
"165" 2191 596.059997558594 342.411895751953 3 1 1 2 2
"166" 12716 983.390014648438 709.337158203125 2 1 1 1 1
"167" 10612 305.872009277344 156.470001220703 2 1 4 1 1
"168" 14631 610.789978027344 275.242980957031 3 1 1 4 2
"169" 7704 721.119995117188 389.849212646484 3 1 1 3 2
"170" 13473 418.399993896484 445.6826171875 2 2 4 4 2
"171" 2480 399.079986572266 186.244995117188 1 1 1 4 3
"172" 9192 380.962493896484 1078.49621582031 3 1 4 2 2
"173" 670 71 149.846832275391 2 1 3 1 1
"174" 5659 184.671997070313 154.050003051758 1 2 4 1 1
"175" 672 358 69.1600036621094 1 1 3 1 1
"176" 4450 1168.09997558594 549.247802734375 2 1 1 3 2
"177" 1335 840.630004882813 425.898590087891 3 1 1 3 3
"178" 8262 935.703979492188 470.977203369141 3 1 2 2 2
"179" 4256 782.871520996094 755.763732910156 3 1 1 5 2
"180" 10079 236.830001831055 1097.20141601563 3 2 4 1 1
"181" 5697 955.265014648438 483.270843505859 3 1 2 2 2
"182" 14981 398.799987792969 370.405578613281 3 1 1 1 1
"183" 868 148.751998901367 172.414993286133 3 2 4 1 1
"184" 14544 571.077026367188 854.599426269531 3 1 4 2 2
"185" 3387 102.970001220703 97.1780471801758 1 2 4 1 1
